놀이기구 위치 요금 인원 나이 특이사항
라이브홀로그램씨어터 글로벌페어 0 0 0 없음
뽀로로3D어드벤처 글로벌페어 0 0 0 없음
키즈커버리 아메리칸어드벤처 0 0 0 없음
프라이드인코리아 아메리칸어드벤처 0 0 0 없음
더블락스핀 아메리칸어드벤처 0 0 0 없음
렛츠트위스트 아메리칸어드벤처 0 0 0 없음
롤링엑스트레인 아메리칸어드벤처 0 0 0 없음
허리케인 아메리칸어드벤처 0 0 0 없음
챔피온쉽로데오 아메리칸어드벤처 0 0 0 없음
콜럼버스대탐험 아메리칸어드벤처 0 0 0 없음
썬더폴스 매직랜드 0 0 0 없음
매직쿠키하우스 매직랜드 0 0 0 없음
시크릿쥬쥬비행기 매직랜드 0 0 0 없음
자동차왕국 매직랜드 0 0 0 없음
헬리싸이클 매직랜드 0 0 0 없음
플래쉬팡팡 매직랜드 0 0 0 없음
피터팬 매직랜드 0 0 0 없음
나는코끼리 매직랜드 0 0 0 없음
로보트카 매직랜드 0 0 0 없음
붕붕카 매직랜드 0 0 0 없음
범퍼카 매직랜드 0 0 0 없음
스카이댄싱 매직랜드 0 0 0 없음
매직스윙 매직랜드 0 0 0 없음
비룡열차 매직랜드 0 0 0 없음
우주전투기 매직랜드 0 0 0 없음
스푸키펀하우스 매직랜드 0 0 0 없음
레이싱코스터 이솝빌리지 0 0 0 없음
릴리댄스 이솝빌리지 0 0 0 없음
볼하우스 이솝빌리지 0 0 0 없음
플라잉레스큐 이솝빌리지 0 0 0 없음
플레이야드 이솝빌리지 0 0 0 없음
T익스프레스 유러피언어드벤처 0 0 0 없음
VR어드벤처 유러피언어드벤처 0 0 0 없음
토마스축제기차 유러피언어드벤처 0 0 0 없음
스페이스투어 유러피언어드벤처 0 0 0 없음
로테이팅하우스 유러피언어드벤처 0 0 0 없음
미스테리맨션 유러피언어드벤처 0 0 0 없음
로얄쥬빌리캐로셀 유러피언어드벤처 0 0 0 없음
아마존익스프레스 주토피아 0 0 0 없음
판다월드 주토피아 0 0 0 없음
로스트밸리 주토피아 0 0 0 없음
사파리월드 주토피아 0 0 0 없음
가든테라스 유러피언어드벤처 0 0 0 양식
베네치아레스토랑 글로벌페어 0 0 0 양식
오리엔탈레스토랑 글로벌페어 0 0 0 종합식당
판다월드카페 주토피아 0 0 0 스낵
KFC 아메리칸어드벤처 0 0 0 패스트푸드
버거카페아메리카 아메리칸어드벤처 0 0 0 패스트푸드
팝콘카트 글로벌페어 0 0 0 스낵
굿프렌즈캐빈 매직랜드 0 0 0 패스트푸드
타운즈마켓레스토랑 매직랜드 0 0 0 일식
쿠치나마리오 유러피언어드벤처 0 0 0 양식
홀랜드빌리지 유러피언어드벤처 0 0 0 양식
암스텔담 유러피언어드벤처 0 0 0 양식
플란다즈레스토랑 유러피언어드벤처 0 0 0 양식
차이나문 유러피언어드벤처 0 0 0 중식
버거카페유럽 유러피언어드벤처 0 0 0 패스트푸드
매직타임레스토랑 유러피언어드벤처 0 0 0 종합식당
한가람 유러피언어드벤처 0 0 0 한식
스낵버스터 유러피언어드벤처 0 0 0 스낵
알프스쿠체 유러피언어드벤처 0 0 0 양식
알파인종합식당 유러피언어드벤처 0 0 0 종합식당
카페정글캠프 주토피아 0 0 0 식카페
로스트밸리스택 주토피아 0 0 0 스낵
뉴욕센트럴스낵 아메리칸어드벤처 0 0 0 스낵
멀린스스낵 매직랜드 0 0 0 스낵
아마존스낵 주토피아 0 0 0 스낵
판다월드샵 주토피아 0 0 0 선물샵
라시언메모리엄 글로벌페어 0 0 0 선물샵
홀로그램스타샵 글로벌페어 0 0 0 선물샵
매직기프트 글로벌페어 0 0 0 선물샵
캔티앤쿠키 글로벌페어 0 0 0 선물샵
뽀로로샵 글로벌페어 0 0 0 선물샵
에잇세컨즈 글로벌페어 0 0 0 선물샵
라인프렌즈스토어 글로벌페어 0 0 0 선물샵
그랜드엠포리엄 글로벌페어 0 0 0 선물샵
타워포토 글로벌페어 0 0 0 선물샵
올리브영 글로벌페어 0 0 0 선물샵
에뛰드하우스 글로벌페어 0 0 0 선물샵
이솝기프트 매직랜드 0 0 0 선물샵
로즈기프트 매직랜드 0 0 0 선물샵
르네상스샵 유러피언어드벤처 0 0 0 선물샵
메모리얼샵 유러피언어드벤처 0 0 0 선물샵
투모로우샵 유러피언어드벤처 0 0 0 선물샵
스페이스투어샵 유러피언어드벤처 0 0 0 선물샵
알프스샵 유러피언어드벤처 0 0 0 선물샵
캔디앤젤리 유러피언어드벤처 0 0 0 선물샵
사파리기프트 주토피아 0 0 0 선물샵
아마존샵 주토피아 0 0 0 선물샵
로스트밸리기프트 주토피아 0 0 0 선물샵
에버블라섬 글로벌페어 0 0 0 선물샵
에버마트 글로벌페어 0 0 0 선물샵
에버핏 글로벌페어 0 0 0 선물샵





