놀이기구 위치 요금 인원 나이 특이사항
키즈랜드 세계의광장 0 0 0 어린이
게임월드 세계의광장 0 0 0 오락실
킹바이킹 모험의나라 0 84 0 없음
해적소굴 모험의나라 0 2 0 없음
티키톡열차 모험의나라 0 16 0 없음
급류타기 모험의나라 0 4 0 없음
스카이어드벤처비기너A 모험의나라 8000 0 140 없음 
스카이어드벤처비기너B 모험의나라 6000 0 125 없음
서든어택 모험의나라 5000 12 0 없음
사격장 모험의나라 0 0 0 없음
리모컨보트 모험의나라 0 0 0 없음
범퍼보트 모험의나라 3000 0 0 없음
터닝메카드레이싱 환상의나라 0 2 0 없음
터닝메카드범퍼카 환상의나라 0 2 0 없음
브루미즈동산 환상의나라 0 0 0 없음
빅회전목마 환상의나라 0 4 0 없음
월드컵 환상의나라 0 4 0 없음
카트라이더범퍼 환상의나라 0 2 0 없음
도레미악단 환상의나라 0 1 0 없음
붕붕카 환상의나라 0 24 0 없음
캐릭터3D극장 환상의나라 0 300 0 없음
뭉게공항액션존 환상의나라 0 0 0 없음
하이롤러 환상의나라 0 2 0 없음
워터파크 환상의나라 3000 1 0 없음
또봇트레인 환상의나라 0 20 0 없음
캐니멀서커스 환상의나라 0 40 0 없음
라바트위스터 환상의나라 0 40 0 없음
알포스윙 환상의나라 0 2 0 없음
드래곤탱크 환상의나라 5000 4 0 없음
깜부비행기 환상의나라 0 2 0 없음
구름빵 환상의나라 0 2 0 없음
피터팬 환상의나라 0 2 0 없음
운칠기삼 환상의나라 0 0 0 없음
IQ오락장 환상의나라 0 0 0 없음
타임머신5D360 미래의나라 0 60 7 없음
착각의집 미래의나라 0 150 0 없음
요격편대 미래의나라 0 20 0 없음
4D깜짝모험관 미래의나라 0 60 0 없음
샷드롭 미래의나라 0 24 0 없음
스카이엑스 미래의나라 15000 1 0 없음
개구리만세 미래의나라 0 7 0 없음
춤추는요술집 미래의나라 0 39 0 없음
달나라열차 미래의나라 0 4 0 없음
은하열차888 미래의나라 0 24 0 없음
록카페 미래의나라 0 2 0 없음
둥실비행선 미래의나라 0 8 0 없음
블랙홀2000 미래의나라 0 24 0 없음
엑스플라이어 미래의나라 0 12 0 없음
미니바이킹 미래의나라 0 12 0 없음
베스트키즈 삼천리동산 0 250 10 없음
도꺠비바람 삼천리동산 0 20 0 없음
귀신동굴 삼천리동산 0 20 0 없음
화랑활터 삼천리동산 0 0 0 없음
라바눈썰매장 삼천리동산 0 0 0 없음
라바야외풀장 삼천리동산 0 0 0 없음
카페빙 세계의광장 0 0 0 식당
롯데리아2호점 세계의광장 0 0 0 식당
카페베네 세계의광장 0 0 0 식당
망고식스 세계의광장 0 0 0 식당
던킨도너츠 세계의광장 0 0 0 식당
인디안스낵 모험의나라 0 0 0 식당
로데오레스토랑 모험의나라 0 0 0 식당
자연드림카페 환상의나라 0 0 0 식당
바베큐가든 환상의나라 0 0 0 식당
카페리앙 환상의나라 0 0 0 식당
키즈팰리스 환상의나라 0 0 0 식당
캐루셀 환상의나라 0 0 0 식당
코코호도 미래의나라 0 0 0 식당
카페빨간풍차 미래의나라 0 0 0 식당
롯데리아1호점 미래의나라 0 0 0 식당
베스트빈커피 미래의나라 0 0 0 식당
스파게티니팩토리 미래의나라 0 0 0 식당
카레원 미래의나라 0 0 0 식당
우동플러스 미래의나라 0 0 0 식당
장미의언덕 미래의나라 0 0 0 식당
초당순두부 삼천리동산 0 0 0 식당
장터 삼천리동산 0 0 0 식당
